0;Province;City;Place;Rating;Jumlah Rating;Type;Address;Description;Harga;;;;;;;;;;;;;;
27;Aceh;Kabupaten Aceh Besar;Pucok Krueng;4.4;199;Alam;F766+6JM, Mon Ikeun, Lhoknga, Aceh Besar Regency, Aceh 23371;Seperti namanya, Pucok Krueng yang dalam bahasa Indonesia bearti “hulu sungai” berlokasi di Desa Mon Ikeun, Kecamatan Lhoknga, Kabupaten Aceh;;;;;;;;;;;;;;;
28;Aceh;Kabupaten Aceh Besar;Indrapatra Fortress;4.3;269;Sejarah;JFMC+HGR, Krueng Raya, Baet, Kec. Baitussalam, Kabupaten Aceh Besar, Aceh;Benteng indara patra is the first Hindu royal heritage fort in Aceh that we can still see until now is located near Ujong Batee Beach, Ladong Village;;;;;;;;;;;;;;;
29;Aceh;Kabupaten Aceh Besar;Taman Hutan Raya Pocut Meurah Intan;4.4;280;Alam;CQV5+8QH, Suka Mulia, Lembah Seulawah, Aceh Besar Regency, Aceh 23362;Taman Hutan Raya Pocut Meurah Intan terletak di kawasan hutan yang ada di sekitar dan di area Gunung Seulawah Agam;;;;;;;;;;;;;;;
30;Aceh;Kabupaten Aceh Besar;Pulau Kapuk;4.2;430;Alam;Desa Mon Ikeun, Kecamatan Lhoknga, Kabupaten Aceh Besar, Aceh;Kawasan ini bisa berada di antara Pantai Lampuuk dan Pantai Lhoknga yang sudah populer. Tepatnya di Desa Mon Ikeun, Kecamatan Lhoknga, Kabupaten Aceh Besar, Aceh.;;;;;;;;;;;;;;;
31;Aceh;Kabupaten Aceh Besar;Desa Wisata Nusa, Aceh;4.6;97;Alam; jln. banda aceh-meulaboh gampong nusa kecamatan lhoknga kabupaten aceh, besar, Kec. Lhoknga, Kabupaten Aceh Besar, Aceh 23353;Desa Wisata Nusa merupakan sebuah desa yang dibangun masayarakat secara swadaya pasca bencana tsunami yang melanda Aceh pada 2004 silam.;;;;;;;;;;;;;;;
32;Aceh;Kabupaten Aceh Besar;Pantai Rinting;4.5;92;Alam;C6GR+P8Q, Dayah Mamplam, Leupung, Aceh Besar Regency, Aceh;Pantai Rinting terletak di kecamatan Lhoknga, Aceh Besar. Pantai yang masih sangat asri nan indah ini menjadi pantai langganan semua pengunjung;;;;;;;;;;;;;;;
33;Aceh;Kabupaten Aceh Besar;Mon Ceunong;4.6;78;Alam;Jalan Mon Ceunong No.23373, Aneuk Glee, Indrapuri, Aceh Besar Regency, Aceh 23373;Mon Ceunong atau Air Terjun Mon Ceunong terletak di Gampong Aneuk Glee, Kecamatan Indrapuri, Kabupaten Aceh Besar;;;;;;;;;;;;;;;
34;Aceh;Kabupaten Aceh Besar;Masjid Sinar Desa;4.6;76;Religi;Dayah Mamplam, Leupung, Aceh Besar Regency, Aceh 23371;;;;;;;;;;;;;;;;
35;Aceh;Kabupaten Aceh Besar;Air Terjun Peucari Jantho;4.4;62;Alam;6MJ4+VPW, Bueng, Kota Jantho, Aceh Besar Regency, Aceh 23951;Air terjun Peucari adalah salah satu lokasi wisata alam yang belum tersentuh di pedalaman hutan belantara Jantho;;;;;;;;;;;;;;;
36;Aceh;Kabupaten Aceh Besar;Mass grave Tsunami Victims;4.5;53;Sejarah;G968+F8R, Siron, Ingin Jaya, Aceh Besar Regency, Aceh 24414;A mass grave containing the remains of hundreds of victims of the devastating 2004 tsunami has been unearthed near Banda Aceh;;;;;;;;;;;;;;;
37;Aceh;Kabupaten Aceh Besar;Waduk Keuliling;4.1;182;Alam;9F8H+GJW, Keureuweung Krueng, Kuta Cot Glie, Aceh Besar Regency, Aceh 23372;Waduk Keuliling merupakan waduk yang terletak di Aceh Besar dengan fungsi utama sebagai irigasi sawah, juga memiliki panorama yang indah.;;;;;;;;;;;;;;;
38;Aceh;Kabupaten Aceh Besar;Lingkok Kuwieng;4.3;56;Alam;CQ26+FV8, Suka Mulia, Lembah Seulawah, Aceh Besar Regency, Aceh 24172;ingkok Kuwieng merupakan sebuah tempat wisata di Kabupaten Pidie, yang menawarkan fenomena alam unik mirip Grand Canyon di Arizona Amerika;;;;;;;;;;;;;;;
39;Aceh;Kabupaten Aceh Besar;Taman Tepi Laut Lhoknga Hotel;4.2;82;Alam;Jl. Meulaboh - Banda Aceh No.Km. 17, RW.5, Mon Ikeun, Kec. Lhoknga, Kabupaten Aceh Besar, Aceh 23116;;;;;;;;;;;;;;;;
40;Aceh;Kabupaten Aceh Besar;Jembatan Seunapet;4.9;10;Alam; CP34+VH, Suka Damai, Lembah Seulawah, Aceh Besar Regency, Aceh 23362;embatan yang sudah dibangun sejak era 80an tersebut menyimpan banyak kisah horor dan kasus kecelakaan lalu lintas para pengendara;;;;;;;;;;;;;;;
41;Aceh;Kabupaten Aceh Besar;Pantai meulingge;5.0;2;Alam;P2PW+MQ3, Melingge, Pulo Aceh, Aceh Besar Regency, Aceh;;;;;;;;;;;;;;;;
42;Aceh;Kabupaten Aceh Besar;Ilalang Park;4.2;51;Alam; GGP2+R8, Bira Lhok, Montasik, Aceh Besar Regency, Aceh;lalang Park merupakan cafe kekinian yang berada di Bukit Radar Aceh Besar yang menyuguhkan view perbukitan;;;;;;;;;;;;;;;
43;Aceh;Kabupaten Aceh Besar;Pantai Jantang;4.3;52;Alam;Desa Jantang Meunasah Krueng Kala Pasie, Kecamatan Lhoong, Kabupaten Aceh Besar;Teluk Jantang adalah sebuah pantai sempit yang diapit dua buah tebing atau bukit berbatu besar yang tidak terlalu tinggi;;;;;;;;;;;;;;;
44;Aceh;Kabupaten Aceh Besar;Taman Wisata Kota Jantho;4.1;61;Alam;7JX3+V57, Jantho Makmur, Kota Jantho, Aceh Besar Regency, Aceh 23951;;;;;;;;;;;;;;;;
45;Aceh;Kabupaten Aceh Besar;Ujong Eumpee;5.0;5;Alam;J54V+695, Deudap, Pulo Aceh, Aceh Besar Regency, Aceh; Pemandangan Ujong Eumpee ini sangat terlihat indah jika kita melihatnya dari ketinggian atas mercusuar yang ada di dekat pantai tersebut;;;;;;;;;;;;;;;
46;Aceh;Kabupaten Aceh Besar;Pantai Babah Kuala;4.4;5;Alam;C68X+22Q, Dayah Mamplam, Leupung, Aceh Besar Regency, Aceh 23371;Pantai Babah Kuala di Aceh Besar menjadi tempat wisata bagi para pengunjung menikmati sunset.;;;;;;;;;;;;;;;
47;Aceh;Kabupaten Aceh Besar;Babah Kuala Mon Ikeun;4.4;37;Alam;Mon Ikeun, Kec. Lhoknga, Kabupaten Aceh Besar, Aceh 23371;;;;;;;;;;;;;;;;
48;Aceh;Kabupaten Aceh Besar;Wisata Air terjun suhom;4.2;14;Alam;Jln, air terjun, Tunong Krueng Kala, Kec. Lhoong, Kabupaten Aceh Besar, Aceh 23371;ir Terjun Seuhom atau Air Terjun Krueng Kala merupakan air terjun yang berada di Lhoong Aceh Besar dengan pemandangan yang istimewa.;;;;;;;;;;;;;;;
49;Aceh;Kabupaten Aceh Besar;Cafe Pantai Ujung Pancu;4.3;6;Alam;H66P+72C, Lam Pageu, Peukan Bada, Aceh Besar Regency, Aceh;;;;;;;;;;;;;;;;
50;Aceh;Kabupaten Aceh Besar;Mataie Hillside Adventure & Water Park;4.0;256;Alam;Jl. Mataie - keude Bieng Km 1,8, Lambaro Kueh, Lhoknga, Aceh Besar Regency, Aceh 23351;Mataie Hillside Adventure & Waterpark adalah sebuah taman rekreasi air di Lambaro Kueh, Lhoknga, Aceh Besar. ;;;;;;;;;;;;;;;
51;Aceh;Kabupaten Aceh Besar;Lampuuk Beach;4.6;1965;Alam; Lhoknga Sub-District, Indonesia.;Pantai Lampuuk merupakan pantai yang bersampingan dengan bukit berbatu atau gunung kapur. Merupakan pantai dengan Angin yang cukup keras dan Ombak yang besar.;;;;;;;;;;;;;;;
52;Aceh;Kabupaten Aceh Besar;Jalan tembus Jantho-Lamno;4.1;31;Alam; 7FW5+RQ2, Bak Sukon, Kuta Cot Glie, Aceh Besar Regency, Aceh 23352;;;;;;;;;;;;;;;;
53;Aceh;Kabupaten Aceh Besar;Lhoknga Beach;4.5;318;Alam;Kabupaten Aceh Besar, Provinsi Aceh,;Kabupaten Aceh Besar, Provinsi Aceh,;;;;;;;;;;;;;;;
54;Aceh;Kabupaten Aceh Besar;Seulawah Agam;4.1;211;Alam;Kabupaten Aceh Besar, Provinsi Nanggroe Aceh Darussalam.;Seulawah Agam is an extensive forested stratovolcano located at the northwestern tip of Sumatra.;;;;;;;;;;;;;;;
55;Aceh;Kabupaten Aceh Besar;LHOKNGA Sea Side Resort;4.0;81;Alam; C6RQ+VWW, Mon Ikeun, Lhoknga, Aceh Besar Regency, Aceh 23353;;;;;;;;;;;;;;;;
56;Aceh;Kabupaten Aceh Besar;Ujung Kelindu;4.5;6;Alam; Lokasi objek wisata ini terletak di Desa Lamreh, Kecamatan Mesjid Raya, Aceh Besar. ;Bukit Lamreh Ujung Kelindu menjadi pesona Aceh yang sangat menarik dan menghadirkan keindahan sempurna terutama saat sore dan pagi hari;;;;;;;;;;;;;;;
57;Aceh;Kabupaten Aceh Besar;Ujung Pancu;4.2;47;Alam;Desa Lampageu, Kecamatan Peukan Bada, Kabupaten Aceh Besar.;Ujung Pancu merupakan objek wisata yang tergolong unik. Satu tempat, tapi punya dua alam sekaligus.;;;;;;;;;;;;;;;
58;Aceh;Kabupaten Aceh Besar;Lange Beach;4.3;77;Alam; Gampong Lamlhom Kecamatan Lhoknga Kabupaten Aceh Besar;Pantai Lange merupakan pantai yang sangat indah,;;;;;;;;;;;;;;;
59;Aceh;Kabupaten Aceh Besar;Point Batee;4.4;14;Alam;Mesjid Raya Subdistrict, Aceh Besar Regency, Aceh, Indonesia.;Point Batee, historically known as Point Baka, Point Pedro or Pedropunt;;;;;;;;;;;;;;;
60;Aceh;Kabupaten Aceh Besar;Air Terjun Peukan Bilui;4.0;50;Alam;F86G+4HF, Lamsod, Darul Kamal, Aceh Besar Regency, Aceh 23238;Air Terjun Peukan Biluy merupakan tempat wisata alam yang ada di Kabupaten Aceh Besar.;;;;;;;;;;;;;;;
61;Aceh;Kabupaten Aceh Besar;Pulau Batee;4.5;11;Alam;Kecamatan Mesjid Raya, Kabupaten Aceh Besar.;Pulau ini masih sangat indah dan air yang sangat jernih. Untuk sampai ke pulau ini harus menaiki boat kutang lebih 20 menit. ;;;;;;;;;;;;;;;
62;Aceh;Kabupaten Aceh Besar;Krueng Raba;5.0;2;Alam;Kecamatan Lhoknga, Aceh Besar.;;;;;;;;;;;;;;;;
63;Aceh;Kabupaten Aceh Besar;Goh Leumo;4.6;20;Alam; Aceh Besar, Aceh.;Nama Gunung Goh Leumo memang masih belum populer, tapi pemandangan di atas puncak gunung ini benar-benar menabjubkan.;;;;;;;;;;;;;;;
64;Aceh;Kabupaten Aceh Besar;Bunta Island;4.5;26;Alam;Peukan Bada, Kabupaten Aceh Besar, Aceh;;;;;;;;;;;;;;;;
65;Aceh;Kabupaten Aceh Besar;Pantai Indra Patra;4.0;8;Alam;JFJG+64M, Ladong, Mesjid Raya, Aceh Besar Regency, Aceh 23373;;;;;;;;;;;;;;;;
66;Aceh;Kabupaten Aceh Besar;Pigeon Tourist Park;3.5;311;Alam;Pigeon Tourist Park;;;;;;;;;;;;;;;;
67;Aceh;Kabupaten Aceh Besar;Brayeung, Leupung;4.3;830;Alam;978M+XR3, Meunasah Mesjid, Leupung, Aceh Besar Regency, Aceh 23371;Brayeun Leupung adalah wisata sungai dengan dukungan pemandangan alam pegunungan Aceh.;;;;;;;;;;;;;;;
68;Aceh;Kabupaten Aceh Jaya;Puncak Gunung Geurute;4.6;2932;Alam;Jl. Meulaboh - Banda Aceh, Babah Ie, Jaya, Kabupaten Aceh Jaya, Aceh;Puncak Gunung Geurutee merupakan destinasi wisata yang terletak di perbatasan antara Aceh Jaya dan Aceh Besar. ;;;;;;;;;;;;;;;
69;Aceh;Kabupaten Aceh Jaya;CRU Sampoiniet, Sarah Deu;4.6;131;Alam;WFGQ+5RP, Pante Purba, Kec. Sampoiniet, Kabupaten Aceh Jaya, Aceh 23656;;;;;;;;;;;;;;;;
70;Aceh;Kabupaten Aceh Jaya;CELOCIA GARDEN ACEH JAYA;4.2;264;Alam;Kuta Tuha, Panga, Aceh Jaya Regency, Aceh 23654;Taman Celosia Garden di Desa Alue Piet, Kecamatan Panga, Aceh Jaya telah menjadi primadona destinasi wisata bunga di Aceh.;;;;;;;;;;;;;;;
71;Aceh;Kabupaten Aceh Jaya;Pasie Saka Beach;4.4;41;Alam;Yousufguoda Hyderabad, Babah Nipah, Kec. Sampoiniet, Kabupaten Aceh Jaya, Aceh; Pantai Pasie Saka merupakan pantai indah yang terletak di Kabupaten Aceh Jaya;;;;;;;;;;;;;;;
72;Aceh;Kabupaten Aceh Jaya;Pantai Kuala Merisi;4.2;111;Alam;Jalan Titi Pahlawan, Dayah Baro, kecamatan Krueng Sabe, Kabupaten Aceh Jaya, Provinsi Aceh;Pantai Kuala Merisi adalah salah satu pantai yang terkenal di Aceh karena keindahannya, dengan hamparan pasir putihnya nan lembut yang luas dan panjang;;;;;;;;;;;;;;;
73;Aceh;Kabupaten Aceh Jaya;Air terjun ceuraceu alue teungoh;4.6;7;Alam;HQF8+32Q, Panton Kabu, Panga, Aceh Jaya Regency, Aceh 23653;Ceuraceu Alue Teungoh atau air terjun mini ini terletak juga tidak jauh dari jalan nasional lintas Calang - Meulaboh;;;;;;;;;;;;;;;
74;Aceh;Kabupaten Aceh Jaya;Pantai Rigaih;4.1;199;Alam;Aceh Jaya Aceh.;Rigaih didekat kota Calang yang terkenal sebagai tempat snorkling;;;;;;;;;;;;;;;
75;Aceh;Kabupaten Aceh Jaya;Teunom River;3.8;4;Alam;northern Sumatra, in the province of Aceh, Indonesia;;;;;;;;;;;;;;;;
76;Aceh;Kabupaten Aceh Jaya;Pulau Reusam;3.9;14;Alam; Kecamatan Setia Bakti, Kabupaten Aceh Jaya, Aceh;Memiliki keindahan pantai, serta spot snorkeling dan diving;;;;;;;;;;;;;;;
77;Aceh;Kabupaten Aceh Jaya;Pulau Keueh;4.4;29;Alam; Bumoe Poe Teumeureuhom, Kabupaten Aceh Jaya;;;;;;;;;;;;;;;;
78;Aceh;Kabupaten Aceh Jaya;Pulau Kluang;4.8;21;Alam;Kecamatan Jaya, Kabupaten Aceh Jaya;Salah satu pulau yang terlihat eksotis dan wajib dikunjungi ketika berada di Aceh;;;;;;;;;;;;;;;
79;Aceh;Kabupaten Aceh Selatan;Tapak Tuan Tapa;4.4;1716;Alam;752H+2HH, Pasar, Tapak Tuan, South Aceh Regency, Aceh 23715;apaktuan sangat terkenal dengan sebuah Legenda Tuan Tapa dan Putri Naga.;;;;;;;;;;;;;;;
80;Aceh;Kabupaten Aceh Selatan;Masjid Agung Istiqamah Tapaktuan;4.8;303;Religi;755H+5PM, JL. Padang, Tapak Tuan, Hilir, Banda Aceh, Kabupaten Aceh Selatan, Aceh 23715;Masjid Agung Istiqamah Tapaktuan adalah salah satu destinasi pariwasata yang terletak di Kabupaten Aceh Selatan Aceh.;;;;;;;;;;;;;;;
81;Aceh;Kabupaten Aceh Selatan;Pantai Sawang Biduk Buruak (SBB);4.4;271;Alam;Pantai pasir putih SBB, Padang Bakau, Kecamatan Labuhanhaji, Kabupaten Aceh Selatan, Aceh 23761;;;;;;;;;;;;;;;;
82;Aceh;Kabupaten Aceh Selatan;Air Terjun Tingkat Tujuh;4.3;308;Alam;7655+92X, Propinsi, Batu Itam, Kec. Tapak Tuan, Kabupaten Aceh Selatan, Aceh 23711;Dalam legenda Tuan Tapa di ceritakan bahwan bahawa air terjun ini merupakan tempat pemandian puteri bungsu ( puteri naga ). ;;;;;;;;;;;;;;;
83;Aceh;Kabupaten Aceh Selatan;PULAU DUA;4.6;92;Alam;Ujung Pulo Rayeuk, Bakongan Timur, South Aceh Regency, Aceh 23773;Pulau Dua memiliki pantai yang bersih, terdapat satwa endemik yaitu Burung Perlin yang terbang berkelompok pada petang hari. ;;;;;;;;;;;;;;;
84;Aceh;Kabupaten Aceh Selatan;Pantai Batee Puteh;4.4;47;Alam;C3GC+VQH, Lhok Aman, Meukek, South Aceh Regency, Aceh 23753;Pantai Batee Puteh merupakan pantai terindah di Kabupaten Aceh Barat;;;;;;;;;;;;;;;
85;Aceh;Kabupaten Aceh Selatan;Jembatan Krueng Baru;4.2;83;Alam;JX35+8FW, W Trans Sumatera Hwy, Panton Pawoh, Labuhan Haji Barat, Kabupaten Aceh Barat Daya, Aceh 23762;;;;;;;;;;;;;;;;
86;Aceh;Kabupaten Aceh Selatan;Pantai Lhok Rukam;4.5;22;Alam;66MM+5XC, Unnamed Road, Lhok Rukam, Kec. Tapak Tuan, Kabupaten Aceh Selatan, Aceh 23755;Di Lhok Rukam juga terdapat pantai pasir setumpuk yang berada di balik gunung;;;;;;;;;;;;;;;
87;Aceh;Kabupaten Aceh Selatan;Benteng Kerajaan Trumon - Cagar Budaya Aceh Selatatan;4.2;35;Sejarah;RJF9+VCF, Unnamed Road, Dsn. Kuta Batee, Keude Trumon, Kec. Trumon, Kabupaten Aceh Selatan, Aceh 23774;Benteng Kerajaan Trumon adalah salah satu cagar budaya di Aceh Selatan yang masuk ke dalam nominasi 10 besar pada Anugerah Pesona Indonesia;;;;;;;;;;;;;;;
88;Aceh;Kabupaten Aceh Selatan;Puncak Grapella Tapaktuan;4.4;21;Alam; 75QF+63M, Panton Luas, Tapak Tuan, South Aceh Regency, Aceh 23711;Tempatnya yang berada pada ketinggian memungkinkan siapa saja yang berada di sana dapat melihat indahnya kota Tapaktuan;;;;;;;;;;;;;;;
89;Aceh;Kabupaten Aceh Selatan;Pantai Pasir Putih;4.0;134;Alam;kecamatan Bungatan, Kabupaten Situbondo, Provinsi Jawa Timur;Kawasan Pantai Pasi Putih Lampung merupakan tempat wisata yang indah dan masih terjaga keasriannya;;;;;;;;;;;;;;;
90;Aceh;Kabupaten Aceh Selatan;Gunung Lampu;4.4;12;Alam;Gn. Lampu, Hilir, Tapak Tuan, Kabupaten Aceh Selatan, Aceh, Indonesia.;Gunung lampu merupakan objek wisata bersejarah dengan tapak raksasa yang melegenda di kaki gunung dan langsung berbatasan dengan laut lepas;;;;;;;;;;;;;;;
91;Aceh;Kabupaten Aceh Selatan;Mount Leuser National Park;4.5;202;Alam;GF97+P97 Barisan mountain range, Aceh 24653;Gunung Leuser National Park is a national park covering 7,927 km² in northern Sumatra, Indonesia, straddling the border of North Sumatra and Aceh provinces, a fourth portion and three-fourths portion, respectively. ;;;;;;;;;;;;;;;
92;Aceh;Kabupaten Aceh Singkil;Pulau Palambakbesar;4.9;14;Alam;Perairan Kecamatan Pulau Banyak, Aceh Singkil, Provinsi Aceh.;Letaknya yang tersembunyi inilah membuat Pulau Palambak ini menjadi tempat wisata yang spesial.;;;;;;;;;;;;;;;
93;Aceh;Kabupaten Aceh Singkil;Nirvana Diving Taïlana Island;4.5;32;Alam;Haloban, Pulau Banyak Barat, Aceh Singkil Regency, Aceh 24784;A fantastic place for sea lover. Diving at the end of the world with professional divers. From sunrise to sunset. Life is good on this island.;;;;;;;;;;;;;;;
94;Aceh;Kabupaten Aceh Singkil;Pulau Banyak Travel;4.2;25;Alam;Jalan Iskandar Muda No.4, Pulau Balai, Pulau Banyak, Kabupaten Aceh Singkil, Aceh 24791;;;;;;;;;;;;;;;;
95;Aceh;Kabupaten Aceh Singkil;Pulau Asok;4.8;9;Alam;Kabupaten Aceh Singkil ;Pulau Asok adalah salah satu gugusan dari Kepulauan Banyak yang tidak berpenghuni. Di pulau ini sungguh sangat membuat mata terpana.;;;;;;;;;;;;;;;
